review,rating,compound,label
it nice produt i like design lot its easy carry and looked stylishread more,5,0.802,Positive
awesome soundvery pretty see nd sound quality good i wish take product loved product read more,5,0.9501,Positive
awesome sound quality pros 78 hrs battery life including 45 mins approx call timeawesome sound output bass treble really clear without equaliser with equaliser sound wary depends handset sound qualityweightless carry head toomic good traffic not good 325535mm option really important mention really expecting leading brands implement thisconsvery tight ears adjusters ok tightread more,4,0.8952,Positive
i think good product not per quality also design quite good i using product january in pandamic situation became useful helpful overall bass sound quality pretty good another thing give sigh relief provide wire help case lacking chargesread more,5,0.9712,Positive
awesome bass sound quality good bettary long life i purchase rs999 really grateful product dont forget likeread more,5,0.8992,Positive
awsome sound powerful bass battery backup also excellent loved bass im huge lover music bass design build also niceand first time bought headphone electronics item glad say first time loved excellent product thanks boat making nice product keep making thanks flipkart team delivering nice product risking lifread more,5,0.9884,Positive
this product sound clear excellent bass obviously good product valuable money guys no daut really good productread more,4,0.923,Positive
should u buy thispros1 sound quality build quality awesome2 bluetooth connectivity average3 bass clear high 4 battery backup good5 u use wire headphone u no charge headphonethis goodcron1 if u use long u feel pain ur ear2 ear not earif u need ear price go moto puls maxfinal opinionif u want good sound quality good bass wireless headread more,4,0.4939,Positive
first i want talk sound quality the sound quality best price segment bass really punchy mids also good high volumes sound cracks bit otherwise really nice 910then come build quality the build quality amazing you cant get better headphones they sturdy light made good quality plastic 9510the thing i didnt like bit tight sometimes become uncomfortaread more,5,0.9284,Positive
good looking super fine clear sound power full bassread more,5,0.8807,Positive
the headphone best bass perfect fit fixed headthat mi a1 provide large range bluetoothand mic working fine bluetoothwire alsoread more,4,0.9042,Positive
great looks n light weight sound cool design ok ok ears couf cheaper quality 15 minutes feel pain ur ears n sweating sound quality excellent n base awesome value money price range thanks flipkart calling feature also poorread more,4,0.9618,Positive
i using headphone since 6 months great bass i songs lover like listen types song headphone great kind music trance edm hindi old song great battery life tooo great buy bole paisa vasooooolread more,5,0.9801,Positive
sound quality good but cannot wear 10 minutes its sooo uncomfortable my ears start paining small size i feel like somebody pressing ears sides great force boat needs improve designread more,1,0.8294,Positive
reson 1 star sounds alerts connection low battery incoming calls etc plays 10 times volume volume usually hear anything headphones these notification plays sound level everyone room hear imagine playing u r wearing headphones its like blast ur ears nowhere when plays like loud im wearing i wish throw awayreason i hvnt thrown away yet decent sound quality baread more,1,0.6187,Positive
yes good aspectexcept mic tried talk using mic bluetooth person cannot hear clearly also low sound irritates want something enjoy music budget quality good yes tight use gets loosen little not comfortable big head feel head small week got comfortable keeping volume mid range use hours like use 23 hrs day keepiread more,3,0.9005,Positive
sound relay rock i compare headphones i used hp lg sony battery thanks designer awesome battery backup u hearing songs ful day battery back 2 days negative mic not clear drive not audible also speaking calls sound not louder head phonesif sb improved headphones relay wonderful product 1499 worth no doubt please go thisalso customer service response good rate 45iread more,4,0.9163,Positive
battery backup good times tight head bluetooth connective good speakers good bass good boat really rocking guys i bought product dasar cost 999 rs price reasaonble r observeve use 2 months r changes waiting u battery indicated goodreally happy product delivery goodread more,3,0.936,Positive
good productsound quality good bass not heavy saying i saw product got 43 ratings i placed order now truly saying i dissatisfied product bluetooth connectivity good i huge lack shown music tracks playing bluetooth no issues aux mode built quality not good the main thing i searching bass heavy headphones saying bass heavy soread more,4,0.7347,Positive
best budget headset price range 999 buy offers period sound quality awesome bass extremely good battery backup 8 hours charging time 1 half hours main cons 1tight ear cuffs 2 sweating 20 minutes want adjust regular intervals mike quality worst person hearing surrounding noise 3overall rating 8510 bass 910 sound quality 910 built quality 710 battery backup 9read more,5,0.8268,Positive
superb sound quality good design comfortable good bettary life overall amazing product boat read more,5,0.9517,Positive
amazing audio product boat superb bass crystal clear sound awesome battery backupgo without any kind hesitationgreat deal priceread more,5,0.9157,Positive
awesome product prize deal phone pe app get 700 rs good sound quality go itread more,5,0.8834,Positive
today get product really good product price range connectivity sound quality battery backup built quality everything goodvery good ekart delivery service also thank u flipkart guys go itread more,5,0.8221,Positive
super great product iam love thank flipkartread more,5,0.9403,Positive
nice headphones grt sound quality im much impressed connectivity iz fast battery backup iz fabulous but headband iz lill tight u cant wear long time otherwise grt product fully satisfiedread more,5,0.631,Positive
1 sound quality best 2 look super stylish headphone 3 packaging superb 4 right tym delevired thanku flipkartread more,5,0.9217,Positive
wooowwww superb product good effect sound clarity bluetooth r working good system mobile phone headphones charger cable also connecting wire 1yr warranty woooww thank read more,5,0.9337,Positive
to headphone better choice budget its sound quality awesome battery backup perfect approx 9 10 hours but build quality average in one word better choiceread more,5,0.8658,Positive
best bluetooth headset price range totally worth buy amazing product thank flipkart delivering short period timeread more,5,0.9179,Positive
this headfone beautiful sound quality osm bass powerful nice product thanks flipcard delivering ao quickly salute flipcard staff love flipcard read more,5,0.9485,Positive
the best device range bass quality best simply loved device got delivered 2 dayslight weight white neon colour simply wow perfectly rests ears comfortable wellgo thanks boat read more,5,0.9808,Positive
light weight easy carry anywhere attractive model awesome service flipkart love itread more,5,0.9337,Positive
headphones beautiful classy light weight actually worth itbass awesome also good sound qualityread more,5,0.9403,Positive
awesome prodect got 999boat company good providing good durable prodectread more,5,0.872,Positive
i really love product sound quality awesome i prefer buy friends built quality relay awesome guys love productread more,5,0.9682,Positive
sound tooo goodand quality good i happy device sound quality important best quality musicread more,5,0.9118,Positive
the boat product good excellent headphone buy bluetooth without wire use good wire also added sound bass perfect waiting order enjoy nowread more,4,0.9021,Positive
delivery slowsound quality super bass also good build quality not bad battery also goodi one major problem mic not good times mic not clearly calling person voice clear voice not clear thereread more,4,0.5282,Positive
simply amazing i see also sound bass i wear first time tight sometime good i happy itread more,4,0.886,Positive
perfect price range go absolutely amazing one u feel no delay pubg sound sound perfectly synchronised game bought playing pubg mainly pubg users u r looking good headphone 2000 review helpful hit likeread more,5,0.9659,Positive
this good as sound good i using since 2 weeks fully satisfied itthe noice cancellation little issue good the prices little bit high according quality offered i not recommend product you go headphonesi not totally satisfiedread more,3,0.8557,Positive
design colour good sound quality awesome i love much productread more,4,0.9042,Positive
1st popular boat good sound production heavy punchy bass nice used many boat ear phones experience nice boat rockerz 400 even better yes feel uncomfortable fond ear headphones rather sound great bass awesome build good design stylish battery backup also preety goodif buying ear headphone 1st time never used tread more,5,0.9805,Positive
product good battery backup also good i recommend buy product life price range best bluetooth headphoneread more,5,0.91,Positive
firstly thanks flipkarti got headphones 4 days earlierjust imagineblazing fast delivery flipkartok i reviewing using 5 days1 design comfort frankly speaking first headphones design pretty satisfactory show front friends i purchased black red one the earcups adjustable i no problem wearingnow comfort many saying tight uncomfortable honestread more,5,0.9367,Positive
i bought flipkart sale rs999 i must say worth price bass pretty cool sound quality awesome bt i still give 4 star becoz little uncomfortable uh wear 10min ears start getting pain bt week youll get used itread more,4,0.7089,Positive
u cannt bought anything cheap price well known brand worthy ill talk sound amazing battery backup also good light weight carry hand calling quality isnt good enoughread more,4,0.8656,Positive
stylish beautiful best bass qualityit feels likeheaven listening funhappy purchasegrabbed rs1099 maybe cheapest till nowbit tight bt maybe ill get used itbest wid windows 10 wellloved itthanx flipkartread more,5,0.743,Positive
awesome product super quality clear n high volume sound change songs cushion quality goodread more,5,0.891,Positive
this product good1 the super extra bass working properly2battery backup best normally 89 hours3 charging time correct description product details4in box audio plug charger cablewarranty card user manualetc5with high definition balanced sound6 next previous function not working laptop works mobileread more,5,0.8442,Positive
very good headphone for playing games like pubgyou easily get each every footsteps with thisbut it have some sound delay with bluetooth modebut with aux cable it works perfectly finesound bass battery read more,5,0.8955,Positive
this honest review 10 months use i bought 1499 flipkartif bass lover go without confusionthe base punchy feel ear vibrate thispros punchy bass dont know headsets provide much bass mids treble crystal clear you hear every instruments battery backup excellent im getting upto 3 days moderate use used accordingly push upto week charges quicread more,5,0.9062,Positive
i give reviw 7 month using awesome working nd good condition yet best use gaming movies song high loud quality betty backup good feel 8 hour work i give 4 star cause u feel disappoint callingread more,5,0.9081,Positive
headphones good price range go sound quality excellent provides great bass build quality excellent battery backup greatgo itread more,5,0.9371,Positive
excellent sound quality superior bass backed great battery power feather light built quality mind blowing purchase good music enthusiasts wise choice purchase price range im totally loving read more,5,0.975,Positive
good headphones gives u decent bass comfortable takes almost 34 days adjust elasticity although u want good headphones overall decent quality go need extreme bass buy skull candyread more,4,0.8555,Positive
its aa amazing product wo want buy u recommended price one best products ny according buy best headphone this best luv boatread more,5,0.9612,Positive
value money got headphone 1k summer salesound quality awesome good bass good noise cancelation also connects devices quickly n devices shows battery percentage headphone also thr coolest thing headphone u often listen music headphone u go itmust buy headphone satisfied purchaseread more,5,0.9337,Positive
the sound quality awesome no queries built design ear cups not comfortable wear 20 30 minutes ear may start getting painso please make big ear cup may feel comfortable listening overall goodread more,4,0.7002,Positive
its amazing one problem 1 month usb code didnt work properly but overally nice product read more,5,0.6428,Positive
great headphones one best great bass and beats main con bit uncomfortable soi wont recommend buy if head big or adultits nice smaall children teensread more,4,0.9098,Positive
pros vocals great love bass decent battery 78 hours built quality good looks premium also foldable cons connectivity problem appears use terrace put phone pocket maybe due bluetooth 41conclusion a great purchase no doubt best buy even purchase 1400 i suggest buy offer sale i purchase read more,4,0.907,Positive
dont buy colour cotton cushion dont look good i prefer one leather air cushion sound quality 910 price range it goodbass 710 i didnt get much design 910 recommend buy one leather cushion battery 1010 notice cancellation also gud i recommend buy product sale u get cheap priceplz guyz dont buy headphone play pubg bass heaphone disturb gaming u cant get crystal clear qualread more,4,-0.5149,Negative
recieved good packagingreally thankful flipkart wonderful experience uone minor issue found bass heads cushions materialthe material used blue color headset made cloth not durable comparing others color variants modelread more,4,0.8834,Positive
a good product boat i like design headphones sound quality good battery backup also good i using playing pubg listening music i loved productread more,5,0.9423,Positive
an excellent buy price great sound decent bass if phone laptop equaliser change settings listen great theatre like sound they also light weight not cause much pressure wear long read more,5,0.9459,Positive
bass good brought product rs999 best value money delivery flipkart super fast delivered one day given dateread more,5,0.9246,Positive
good product cheap price even better jbl first i also buyied jbl not good better itread more,5,0.2472,Positive
bought 999 definitely worth amount paid get thosepros1 high bass hd sound quality use poweramp music player get best headphone2 battery backup those use 34 hours daily battery backup 35 days tested limitsconsbut not able make feel comfort regret buying one reasons easily sort manufacturer1 the ear cushions not read more,4,0.872,Positive
good sound quality calls ok battery good bass good overall goodread more,5,0.872,Positive
totally impressed by its sound quality satisfied brillantniceworth it value money 1sound quality clear crystal2bass quality superb especially dj remix songs 3the colourwhitegery much good looking 4 but mic little bit bad we speaking person not able hear voice properlyin calling time 5also fitting quite good not much little bit tight earsread more,5,0.8424,Positive
nice sound quality give 4 5super bass give 4 5design quality give 4 5excellent super battery give 45 5around 8 hour song hearing battery backupperfect fitsultralight weightnoise cancellation up mark below average qualityvoice calling quality below average quality give 25 5mic working goodaux cable data cable included working finecushions better softoverall prodread more,4,0.8625,Positive
bang buckreally great headset best headphone pricethe build quality good sturdy light weight the sound quality headphone seriously good bass really amazing dont think others go read more,5,0.9552,Positive
packing goodreceived good conditionworking wellsound quality actually crystal clear bass appreciable overall nice product value money read more,4,0.8658,Positive
a decent headphonei buy 1000rs very satisfied productpros1good design2good quality look3very good bass4light weight5good battery backupcons1its little bit tightdont know get wasy afta using muchears getting painthis problem seen many reviewsyoutube also2good ppl loves basscz normal sound little bit straight3buttons not feel durableread more,5,0.7902,Positive
